"userId","ageGroup","originCountry","fitnessLevel","groupType","preferredTerrain","preferredMood","preferredDifficulty","travelStyle","avoidCrowds","preferredSeason","avoidedHotspot","recommendedDestination","selectedDestination","completedTrail","trailDurationHours","elevationPreference","weatherSensitivity","biodiversityInterest","sustainabilityScore","crowdPressureAvoided","localImpactEuro","rating","wouldRecommend","travelDate"
"PF93810000","18-24","Netherlands","medium","solo","island","quiet","moderate","slow-travel","1","Summer","Santorini","Sifnos","Sifnos","Vathi Bay Coastal Walk","5.6","medium","low","1","87","83","96","4.3","1","2025-08-12"
"PF10851001","45-54","Germany","medium","couple","village","peaceful","hard","weekend-getaway","1","Autumn","Santorini","Sifnos","Sifnos","Profitis Ilias Climb","7.9","low","low","1","84","45","136","3.9","0","2025-11-06"
"PF19116002","18-24","UK","medium","solo","river","authentic","hard","slow-travel","1","Summer","Athens Center","Apollo Trails","Apollo Trails","Andritsaina Historic Route","7.6","medium","low","0","90","39","195","4.6","1","2025-07-09"
"PF59735003","25-34","Austria","medium","friends","village","authentic","hard","slow-travel","1","Summer","Santorini","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Beloi Viewpoint Trail","6.1","low","medium","0","82","88","76","4.1","1","2025-07-11"
"PF80644004","25-34","USA","medium","solo","village","wild","expert","adventure","1","Autumn","Oia","Folegandros","Kythera Trails","Chora to Kapsali","7.3","low","medium","0","82","89","175","4.1","1","2024-11-12"
"PF25014005","35-44","USA","medium","couple","mountain","authentic","hard","nature-immersion","1","Spring","Mykonos","Poros Trails","Pertouli Trails","Elati Forest Loop","8","high","low","0","89","55","79","4.2","1","2025-04-15"
"PF79514006","55-64","USA","low","couple","island","peaceful","easy","weekend-getaway","0","Winter","Mykonos","Serifos","Serifos","White Tower Ancient Path","1.9","medium","medium","1","87","51","107","4.4","1","2026-01-08"
"PF80686007","45-54","Italy","medium","family","mountain","quiet","moderate","weekend-getaway","1","Summer","Athens Center","Apollo Trails","Apollo Trails","Mount Lykaion Ascent","3.6","high","low","0","77","58","41","3.9","1","2025-06-23"
"PF14117008","55-64","Germany","medium","couple","coast","quiet","expert","adventure","1","Winter","Navagio Beach","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Beloi Viewpoint Trail","6.1","low","high","0","91","85","130","4.3","1","2026-02-22"
"PF17100009","35-44","Sweden","medium","couple","coast","authentic","moderate","slow-travel","0","Autumn","Mykonos","Kythera Trails","Kythera Trails","Moudari Lighthouse Route","6.1","low","high","0","84","42","52","4.6","1","2024-11-16"
"PF40982010","25-34","France","high","solo","coast","cinematic","expert","nature-immersion","0","Summer","Santorini","Zagori / Vikos Gorge","Menalon Trail","Nymfasia to Magouliana","8.4","low","low","0","91","92","79","4","1","2025-06-11"
"PF85914011","45-54","Germany","low","family","village","authentic","easy","adventure","1","Summer","Santorini","Serifos","Kythera Trails","Mylopotamos Waterfalls","2.7","low","low","0","77","35","198","3.9","0","2025-07-26"
"PF51180012","25-34","France","medium","friends","village","authentic","hard","slow-travel","1","Spring","Oia","Ithaca Trails","Ithaca Trails","Kathara Monastery Route","5.9","low","medium","0","98","38","102","4.2","1","2025-04-11"
"PF81200013","45-54","USA","medium","couple","village","spiritual","moderate","weekend-getaway","1","Summer","Navagio Beach","Poros Trails","Poros Trails","Temple of Poseidon Path","4.3","low","low","1","76","73","92","4.6","1","2025-07-29"
"PF42914014","55-64","Greece","low","couple","village","authentic","moderate","slow-travel","1","Spring","Mykonos","Poros Trails","Poros Trails","Dana Lighthouse Route","5.2","low","high","0","72","49","179","3.8","0","2025-04-01"
"PF15482015","25-34","Switzerland","high","couple","village","remote","expert","adventure","1","Winter","Navagio Beach","Ithaca Trails","Ithaca Trails","Anogi Plateau Route","6","low","high","1","97","50","244","4.8","1","2025-12-28"
"PF53540016","45-54","France","medium","couple","island","peaceful","moderate","adventure","1","Summer","Corfu Old Town","Apollo Trails","Zagori / Vikos Gorge","Dragon Lake Hike","5.9","medium","medium","0","81","69","250","4.8","1","2025-06-22"
"PF96511017","25-34","UK","high","solo","island","wild","expert","nature-immersion","1","Autumn","Navagio Beach","Prespes","Zagori / Vikos Gorge","Papigo Pools Route","8.4","medium","medium","0","71","43","192","4.3","1","2025-09-18"
"PF77033018","18-24","Switzerland","medium","friends","village","cinematic","hard","adventure","1","Spring","Meteora","Zagori / Vikos Gorge","Prespes","Agios Achilleios Loop","7","low","low","0","83","71","143","4.6","1","2025-03-11"
"PF97153019","55-64","Italy","medium","couple","village","authentic","moderate","slow-travel","1","Autumn","Mykonos","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Dragon Lake Hike","5","low","low","0","75","40","112","4.4","1","2025-10-10"
"PF40784020","35-44","UK","low","couple","village","authentic","moderate","nature-immersion","1","Winter","Oia","Kythera Trails","Kythera Trails","Chora to Kapsali","5","low","high","0","74","30","232","4.8","1","2025-02-18"
"PF38683021","25-34","Canada","medium","solo","village","quiet","expert","slow-travel","1","Winter","Corfu Old Town","Poros Trails","Prespes","Pyli to Daseri","8","low","low","0","84","50","230","4.8","1","2026-02-04"
"PF42406022","45-54","UK","medium","couple","village","quiet","easy","nature-immersion","1","Winter","Santorini","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Papigo Pools Route","1.9","low","high","0","82","49","220","4.1","1","2025-12-30"
"PF81121023","35-44","Germany","medium","family","village","peaceful","moderate","slow-travel","1","Winter","Corfu Old Town","Apollo Trails","Apollo Trails","Andritsaina Historic Route","6.1","low","medium","0","87","58","164","4.1","1","2026-01-21"
"PF60968024","25-34","Italy","medium","friends","island","adventurous","expert","adventure","1","Summer","Oia","Menalon Trail","Menalon Trail","Stemnitsa to Dimitsana","5.9","medium","medium","0","75","36","106","4.3","1","2025-06-05"
"PF54236025","45-54","France","high","couple","village","quiet","moderate","slow-travel","1","Spring","Navagio Beach","Prespes","Prespes","Agios Achilleios Loop","5.8","low","high","0","76","32","199","4","1","2025-03-10"
"PF24993026","35-44","UK","medium","couple","village","peaceful","expert","slow-travel","1","Summer","Mykonos","Prespes","Prespes","Vrontero Cave Path","6.7","low","low","0","76","39","191","4.6","1","2025-07-07"
"PF49529027","55-64","USA","medium","solo","island","quiet","expert","weekend-getaway","1","Winter","Oia","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Papigo Pools Route","8","medium","high","0","83","76","202","4.9","1","2026-02-14"
"PF67080028","25-34","USA","high","couple","island","remote","moderate","nature-immersion","1","Autumn","Athens Center","Menalon Trail","Menalon Trail","Nymfasia to Magouliana","4.3","medium","medium","0","77","89","185","4.5","1","2025-11-24"
"PF74789029","55-64","Germany","medium","couple","coast","quiet","moderate","weekend-getaway","1","Winter","Oia","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Dragon Lake Hike","5.6","low","low","1","92","92","154","4.8","1","2025-02-04"
"PF63005030","35-44","UK","medium","family","coast","peaceful","moderate","nature-immersion","1","Spring","Navagio Beach","Prespes","Prespes","Vrontero Cave Path","4.2","low","low","0","76","70","70","4.7","1","2025-05-09"
"PF73464031","25-34","USA","high","couple","coast","remote","moderate","adventure","1","Spring","Meteora","Prespes","Prespes","Psarades Cape Trail","6.4","low","low","1","79","46","203","4.8","1","2026-03-18"
"PF11607032","35-44","France","low","couple","island","peaceful","easy","nature-immersion","1","Winter","Santorini","Prespes","Prespes","Agios Achilleios Loop","3.9","medium","medium","0","72","61","70","4.5","1","2026-01-01"
"PF91057033","25-34","USA","high","couple","river","adventurous","expert","nature-immersion","1","Winter","Meteora","Pertouli Trails","Pertouli Trails","Koziakas Refuge Path","6.1","medium","low","0","72","50","101","4","1","2025-01-16"
"PF63545034","35-44","USA","medium","family","coast","authentic","easy","nature-immersion","1","Autumn","Santorini","Prespes","Prespes","Psarades Cape Trail","3.1","low","low","0","74","64","76","3.9","1","2025-09-11"
"PF84607035","55-64","France","low","couple","coast","peaceful","moderate","weekend-getaway","0","Autumn","Oia","Menalon Trail","Menalon Trail","Stemnitsa to Dimitsana","5.3","low","high","0","72","59","212","4.8","1","2024-11-22"
"PF98117036","45-54","USA","low","family","island","quiet","moderate","nature-immersion","1","Spring","Meteora","Prespes","Prespes","Pyli to Daseri","4.5","medium","medium","1","80","43","81","4.2","1","2026-03-23"
"PF62488037","45-54","USA","medium","couple","coast","peaceful","expert","nature-immersion","1","Winter","Corfu Old Town","Menalon Trail","Menalon Trail","Lagkadia Route","5.7","low","low","0","81","93","200","4.3","1","2024-12-23"
"PF81987038","18-24","UK","high","solo","island","wild","moderate","adventure","0","Spring","Navagio Beach","Tzoumerka","Tzoumerka","Matsouki Trail","6.5","medium","high","1","84","45","205","4.8","1","2026-03-26"
"PF48254039","35-44","UK","high","couple","island","quiet","hard","adventure","1","Summer","Athens Center","Tzoumerka","Tzoumerka","Pramanta Refuge Trail","7.8","medium","medium","1","80","94","108","4.8","1","2025-08-17"
"PF86931040","35-44","Italy","medium","family","island","quiet","easy","weekend-getaway","1","Winter","Oia","Prespes","Prespes","Vrontero Cave Path","3.2","medium","high","0","97","82","51","4.2","1","2026-02-28"
"PF59968041","25-34","Italy","high","friends","village","authentic","hard","slow-travel","1","Summer","Oia","Zagori / Vikos Gorge","Menalon Trail","Stemnitsa to Dimitsana","5.5","low","high","1","83","49","59","4.4","1","2025-07-30"
"PF62098042","35-44","Greece","high","couple","island","quiet","expert","weekend-getaway","0","Winter","Navagio Beach","Zagori / Vikos Gorge","Zagori / Vikos Gorge","Voidomatis River Path","5.7","medium","low","0","91","66","98","4.7","1","2026-01-19"
"PF93066043","45-54","Germany","medium","couple","island","authentic","expert","weekend-getaway","1","Autumn","Corfu Old Town","Prespes","Prespes","Psarades Cape Trail","7.2","medium","high","1","75","52","60","4.5","1","2025-11-27"
"PF41566044","35-44","USA","medium","family","coast","peaceful","moderate","slow-travel","1","Autumn","Athens Center","Poros Trails","Poros Trails","Temple of Poseidon Path","6.5","low","medium","0","90","84","216","4.1","1","2025-09-06"
"PF60422045","55-64","Germany","low","couple","village","quiet","easy","weekend-getaway","1","Autumn","Santorini","Menalon Trail","Menalon Trail","Stemnitsa to Dimitsana","4.2","low","low","0","85","66","238","4.8","1","2025-10-27"
"PF34920046","35-44","Italy","medium","friends","village","remote","moderate","slow-travel","1","Autumn","Navagio Beach","Prespes","Prespes","Vrontero Cave Path","3.8","low","medium","1","80","83","84","4","1","2025-11-10"
"PF45720047","45-54","UK","medium","friends","forest","quiet","hard","weekend-getaway","1","Summer","Corfu Old Town","Apollo Trails","Apollo Trails","Mount Lykaion Ascent","5.8","medium","medium","1","70","63","177","3.9","0","2025-07-27"
